County,Facility Name,IPSL/MFL,TX CURR
Machakos,Kivaani Health Centre,12376,110
Machakos,Kola Health Centre,12381,152
Kitui,Konyu Dispensary,12383,19
Kitui,Kwa Mulungu Dispensary,12393,12
Kitui,Kwa Mutonga Dispensary,12394,26
Kitui,Kwa Vonza Dispensary,12396,136
Kitui,Kyamatu Dispensary,12403,48
Makueni,Kyambeke Dispensary,12404,93
Kitui,Kyangunga Dispensary,12406,20
Kitui,Kyatune Health Centre,12410,69
Machakos,Kyawalia Dispensary,12411,10
Embu,Consolata Kyeni Hospital,12413,868
Kitui,Kyethani Health Centre,12414,69
Kitui,Kyuso District Hospital,12420,366
Meru,Laare Health Facility,12422,333
Meru,Lewa Downs Dispensary,12426,61
Marsabit,Loiyangalani Health Centre,12433,105
Machakos,Machakos Level 5 Hospital,12438,4156
Tharaka Nithi,Magutuni District Hospital,12445,198
Marsabit,Maikona Dispensary,12446,13
Embu,Makengi Dispensary (Embu),12453,33
Embu,Makima Dispensary,12454,40
Makueni,Makindu District Hospital,12455,1796
Makueni,Makueni Catholic Dispensary,12456,21
Makueni,Makueni District Hospital,12457,1868
Kitui,Malalani Dispensary,12459,22
Isiolo,Malka Galla Dispensary,12462,4
Machakos,Mananja Dispensary,12466,75
Marsabit,Marsabit District Hospital,12472,221
Machakos,Masii Health Centre,12475,820
Machakos,Masinga Sub County Hospital,12476,468
Makueni,Masongaleni Health Centre,12477,235
Kitui,Masyungwa Health Centre,12479,90
Kitui,Mathuki Health Centre,12483,297
Makueni,Matiliku District Hospital,12485,403
Kitui,Matinyani Dispensary,12486,333
Machakos,Matuu District Hospital,12488,2031
Machakos,Matuu Mission Hospital,12489,222
Meru,Maua Methodist Hospital,12492,2414
Makueni,Mavindini Health Centre,12493,245
Makueni,Mbenuu H Centre,12499,49
Meru,Mbeu Sub-District Hospital,12500,168
Makueni,Mbitini Catholic Dispensary,12502,141
Machakos,Mbiuni Health Centre,12503,325
Makueni,Mbooni District Hospital,12508,621
Isiolo,Merti Health Centre,12514,34
Meru,Meru District Hospital,12516,2970
Kitui,Miambani Health Centre,12519,121
Kitui,Mbitini Health Centre,12521,425
Kitui,Migwani Sub-District Hospital,12523,560
Meru,Mikinduri Sub-District Hospial,12525,260
Meru,Mikumbune Sub-District Hospital,12526,308
Machakos,Mitaboni Health Centre,12530,374
Meru,Mitunguu Dispensary,12534,180
Machakos,Miu Sub-Health Centre,12537,92
Kitui,Mivukoni Health Centre,12539,30
Marsabit,Moyale District Hospital,12544,624
Tharaka Nithi,Mpukoni Health Centre,12546,115
Makueni,Mtito Andei Health Center,12547,848
Tharaka Nithi,Mukui Health Centre,12561,25
Tharaka Nithi,Mukuuni Dispensary,12563,33
Makueni,Mukuyuni Health Center,12565,271
Kitui,Mulango (AIC) Dispensary,12566,210
Kitui,Mulutu Catholic Dispensary,12569,17
Makueni,Mumbuni Dispensary (makueni),12571,4
Makueni,Musalala Dispensary,12582,17
Kitui,Mutha Health Centre,12586,211
Kitui,Muthale Mission Hospital,12587,459
Tharaka Nithi,Muthambi Health Centre,12589,257
Meru,Muthara Sub-District Hospital,12591,444
Machakos,Muthetheni Health Center,12593,328
Kitui,Mutitu Sub-District Hospital,12601,372
Machakos,Mutituni Health Centre,12602,435
Kitui,Mutomo District Hospital,12603,262
Kitui,Mutomo Mission Hospital,12604,1073
Meru,Mutuati Sub-District Hospital,12605,467
Makueni,Mutyambua Dispensary,12610,25
Kitui,Mutyangome Dispensary,12611,0
Machakos,Muumandu Health Centre,12612,239
Machakos,Mwala District Hospital,12618,661
Kitui,Mwingi District Hospital,12626,1704
Kitui,Mwitika Dispensary,12628,77
Meru,Naari Health Centre,12631,39
Kitui,Ndiuni Dispensary,12638,47
Embu,Nembure Health Centre,12642,265
Kitui,Ngomeni Health Centre,12654,170
Machakos,Nguluni Health Centre,12657,561
Kitui,Nguni Health Centre,12658,444
Kitui,Ngungani Dispensary,12662,8
Makueni,Ngwata Health Centre,12663,527
Meru,Nkubu Dispensary,12666,82
Marsabit,North Horr Health Centre,12668,26
Embu,Nthagaiya Catholic Dispensary,12673,28
Meru,Nthambiro Dispensary,12675,152
Makueni,Nthongoni Dispensary - Makueni,12676,101
Kitui,Nthongoni Dispensary (Kitui),12677,63
Kitui,Nuu Sub-District Hospital,12681,236
Meru,Nyambene District Hospital,12684,1346
Machakos,Nys Dispensary (Mavoloni),12686,26
Kitui,Nzatani Dispensary (Mwingi),12689,133
Kitui,Nzawa Health Centre,12690,88
Kitui,Nzeluni Dispensary,12691,23
Makueni,Nzeveni Dispensary,12692,117
Makueni,Nziu Dispensary,12693,87
Isiolo,Oldonyiro Dispensary (Isiolo),12697,26
Isiolo,Pepo La Tumaini Dispensary,12701,37
Meru,Ruiri Rural Health Demonstration Centre,12717,155
Embu,Runyenjes District Hospital,12719,684
Marsabit,Sagante Dispensary,12723,2
Isiolo,Sericho Health Centre,12729,4
Machakos,Shalom Community Hospital (Machakos),12730,352
Marsabit,Sololo Mission Hospital,12739,74
Marsabit,Songa Health Centre,12741,1
Meru,St Anne Kariene Dispensary,12744,202
Tharaka Nithi,St Orsola Mission Hospital,12769,282
Makueni,Sultan Hamud Sub District Hospital,12777,876
Makueni,Syumile Dispensary,12782,50
Makueni,Tawa Sub-Distrct Hospial,12787,568
Kitui,Tei Wa Yesu Health Centre,12789,121
Embu,Acef Ena Health Centre,12791,194
Tharaka Nithi,Thanantu Faith Clinic Dispensary,12793,69
Kitui,Tharaka Health Centre,12794,30
Tharaka Nithi,Tharaka District Hospital,12795,265
Machakos,Thinu Health Centre,12796,144
Kitui,Thitani Health Center,12797,24
Meru,Tigania Hospital,12799,231
Meru,Timau Sub-District Hospital,12802,442
Kitui,Tiva Dispensary,12803,146
Kitui,Tseikuru Sub-District Hospital,12805,372
Kitui,Tulia Dispensary,12806,50
Makueni,Tulimani Dispensary,12808,122
Tharaka Nithi,Tunyai Dispensary,12813,240
Meru,Uruku GK Dispensary,12830,10
Meru,Uruku Health Centre,12831,31
Machakos,Vyulya Dispensary,12837,85
Kitui,Waita Health Centre,12839,203
Machakos,Wamunyu Health Centre,12841,452
Kitui,Wingemi Health Centre,12848,82
Kitui,Winzyeei Health Centre,12849,71
Kitui,Yatta Health Centre,12853,255
Kitui,AIC Zombe Dispensary,12860,380
Nairobi County,Afwani Medical Centre,12865,12
Nairobi County,Amurt Health Center,12870,730
Nairobi County,APTC Health Center,12871,165
Nairobi County,Babadogo (EDARP),12875,1714
Nairobi County,Babadogo Health Centre,12876,1561
Nairobi County,Bahati Health Centre,12879,482
Nairobi County,Baraka Dispensary (Nairobi),12881,2719
Nairobi County,Brother andre Clinic,12887,17
Nairobi County,Chandaria Health Centre,12893,153
Nairobi County,Coptic Medical Clinic,12904,1837
Nairobi County,Coptic Hospital (Ngong Road),12905,8945
Nairobi County,Dandora (EDARP) Clinic,12911,2270
Nairobi County,Dandora II Health Centre,12912,1624
Nairobi County,Dandora I Health Centre,12913,515
Nairobi County,DIWOPA Clinic,12917,266
Nairobi County,Dog Unit Dispensary (O P Kenya Police),12919,40
Nairobi County,Dreams Centre Dispensary (Langata),12929,2541
Nairobi County,Eastleigh Health Centre,12930,426
Nairobi County,Embakasi Health Centre,12935,1105
Nairobi County,Family Life Promotions and Services,12941,16
Nairobi County,FHOK Health Centre,12942,490
Nairobi County,Gertrudes Hospital,12950,1779
Nairobi County,Githurai VCT,12957,73
Nairobi County,Gsu Dispensary (Nairobi West),12961,53
Nairobi County,Gsu Training School,12962,108
Nairobi County,Gsu Hq Dispensary (Ruaraka),12963,97
Nairobi County,Guru Nanak Hospital,12965,145
Nairobi County,Huruma (NCCK) Dispensary,12972,508
Nairobi County,Huruma (EDARP),12973,1990
Nairobi County,Huruma Lions Dispensary,12974,944
Nairobi County,Huruma Nursing Home,12976,79
Nairobi County,Pipeline Maternity Nursing Home,12978,73
Nairobi County,Jamaa Hospital,12984,452
Nairobi County,Jericho Health Centre,12988,624
Nairobi County,Kahawa West Health Centre,12997,643
Nairobi County,Kamiti Prison Hospital,13000,653
Nairobi County,Kangemi Health Center,13001,2115
Nairobi County,Karen Health Centre,13003,1079
Nairobi County,The Karen Hospital,13004,176
Nairobi County,Kariobangi Health Centre,13006,1143
Nairobi County,Karura Health Centre (Kiambu Rd),13009,125
Nairobi County,Kasarani Health Center,13010,1064
Nairobi County,Kayole Hospital,13014,114
Nairobi County,Kayole Health Centre,13015,397
Nairobi County,Kayole Ii Sub-District Hospital,13016,1844
Nairobi County,Soweto Kayole PHC,13017,660
Nairobi County,KEMRI VCT(CRDR),13019,2077
Nairobi County,Kenyatta National Hospital,13023,9440
Nairobi County,Kenyatta University Dispensary,13024,121
Nairobi County,Kibera Community Health Centre - Amref,13028,2464
Nairobi County,Kibera D O Dispensary,13029,438
Nairobi County,Kibera South (Msf Belgium) Health Centre,13030,3782
Nairobi County,Kivuli Center/Riruta Health Project,13036,252
Nairobi County,Staff Clinic,13039,193
Nairobi County,Langata Health Centre,13041,756
Nairobi County,Langata Hospital,13042,29
Nairobi County,Langata Women Prison Dispensary,13044,89
Nairobi County,Lea Toto Kariobangi,13045,549
Nairobi County,Lea Toto Dagoretti,13046,367
Nairobi County,Lea Toto Clinic Kariobangi South,13047,426
Nairobi County,Lea Toto Kibera,13048,391
Nairobi County,Loco Dispensary,13051,663
Nairobi County,Lunga Lunga Health Center,13053,906
Nairobi County,Makadara Health Center,13056,1281
Nairobi County,Makadara Mercy Sisters,13057,595
Nairobi County,Mariakani Cottage Hospital Ltd,13064,152
Nairobi County,Marurui Dispensary,13071,77
Nairobi County,The Mater Hospital Mukuru,13074,3489
Nairobi County,Mathare 3A (EDARP),13075,1631
Nairobi County,Mathari Hospital,13076,880
Nairobi County,Mathare North Health Center,13077,2262
Nairobi County,Mbagathi District Hospital,13080,4714
Nairobi County,Meridian Medical Clinic (Buruburu),13084,13
Nairobi County,Melchizedek Hospital,13086,156
Nairobi County,Metropolitan Hospital Nairobi,13090,656
Nairobi County,Mukuru Mmm Clinic,13101,1016
Nairobi County,Mutuini Sub-District Hospital,13105,235
Nairobi County,Nairobi Deaf (Liverpool),13108,94
Nairobi County,Meridian Equator Hospital (Langata),13109,40
Nairobi County,Nairobi West Men's Prison Dispensary,13116,51
Nairobi County,Ngaira Rhodes Dispensary,13121,770
Nairobi County,Ngara Health Centre (City Council of Nairobi),13122,632
Nairobi County,Ngong Road Health Centre,13123,438
Nairobi County,Nimoli Medical Centre,13125,14
Nairobi County,Njiru Dispensary,13126,885
Nairobi County,National Youth Service Hq Dispensary (Ruaraka),13130,76
Nairobi County,South B Police Band Dispensary,13144,53
Nairobi County,Pstc Health Centre,13153,216
Nairobi County,Pumwani Majengo Dispensary,13155,499
Nairobi County,PUMWANI MAJENGO DISPENSARY-Majengo CCC,13155,744
Nairobi County,Pumwani Maternity Hospital,13156,2687
Nairobi County,Radiant Pangani Hospital,13158,51
Nairobi County,Redeemed Gospel Church,13160,65
Nairobi County,Nairobi Remand Prison Health Centre,13161,640
Nairobi County,Riruta Health Centre,13165,3271
Nairobi County,EDARP Ruai Clinic,13169,790
Nairobi County,Ruai Health Centre,13171,211
Nairobi County,Reuben Mukuru Health Centre,13173,507
Nairobi County,Samaritan Clinic (Nairobi East),13176,1
Nairobi County,SWOP-City,13180,793
Nairobi County,Silanga (MSF Belgium) Dispensary,13186,1307
Nairobi County,Sokoni Arcade VCT,13188,77
Nairobi County,Sos Dispensary,13189,1185
Nairobi County,EDARP Soweto Health Centre,13191,2155
Nairobi County,Special Treatment Clinic (STC) Casino,13193,1361
Kisii,"St. Catherine Mission,  Ichuni",13200,143
Nairobi County,St John Hospital,13205,38
Nairobi County,St Joseph (EDARP) Clinic,13207,1495
Nairobi County,St. Joseph Mukasa Dispensary,13208,600
Nairobi County,St Joseph W Dispensary (Westlands),13209,389
Nairobi County,St Joseph's Dispensary (Dagoretti),13210,200
Nairobi County,St Mary`s Mission Hospital,13218,3815
Nairobi County,EDARP Donholm Clinic,13220,3134
Nairobi County,St Vincent Catholic Clinic,13230,1688
Nairobi County,Tabitha Medical Clinic,13234,559
Nairobi County,Uhuru Camp Dispensary (O P Admin Police),13239,200
Nairobi County,Umoja Health Centre,13240,725
Nairobi County,Ushirika Medical Clinic,13245,584
Nairobi County,Uzima Dispensary,13246,604
Nairobi County,Waithaka Health Centre,13249,656
Nairobi County,Westlands Health Centre,13258,1401
Wajir,Buna Sub-District Hospital,13312,2
Wajir,Bute District Hospital,13314,26
Mandera,Elwak District Hospital,13335,38
Garissa,Bura District Hospital,13339,43
Garissa,Garissa Provincial General Hospital (PGH),13346,688
Wajir,Griftu District Hospital,13352,5
Wajir,Habaswein District Hospital,13357,27
Garissa,Iftin Sub-District Hospital,13369,75
Mandera,Mandera District Hospital,13402,415
Garissa,Ijara District Hospital - Masalani,13406,53
Garissa,Police Line Dispensary (Garissa),13420,183
Mandera,Rhamu Sub-District Hospital,13423,31
Garissa,Sisters Maternity Home (Simaho),13442,113
Mandera,Takaba District Hospital,13445,29
Garissa,Utawala Dispensary,13448,3
Wajir,Wajir District Hospital,13452,189
Siaya,Abidha Health Centre,13461,1072
Migori,Akidiva Clinic,13462,75
Homa Bay,Adiedo Dispensary,13463,471
Kisumu,Administration Police Dispensary (Kisumu East),13464,349
Homa Bay,Agawo Dispensary,13466,211
Migori,Agenga Dispensary,13467,570
Kisumu,Ahero Sub-District Hospital,13468,3668
Kisumu,Airport Dispensary (Kisumu),13469,387
Siaya,Akala Health Centre,13471,1498
Homa Bay,Alum Beach Dispensary,13472,202
Siaya,Aluor Mission Health Centre,13473,490
Kisii,Amani Medical Centre (Suneka),13474,21
Nyamira,Amatierio Dispensary,13475,86
Siaya,Ambira Sub-District Hospital,13476,2454
Kisumu,Anding'o Opanga Dispensary,13477,204
Migori,Aneko Dispensary,13478,265
Homa Bay,Ang'iya Dispensary,13479,310
Migori,Anjego Dispensary,13480,255
Siaya,Anyuongi Dispensary,13482,271
Kisumu,Arito Langi Dispensary,13484,385
Migori,Arombe Dispensary,13486,908
Kisumu,Asat Beach Dispensary,13487,82
Homa Bay,Asumbi Health Centre,13488,2013
Homa Bay,Atemo Health Centre,13489,64
Kisumu,Awasi Mission Dispensary,13491,1279
Migori,Awendo Sub-District Hospital,13492,2796
Siaya,Bama Hospital,13493,271
Migori,Bande Dispensary,13494,286
Siaya,Bar Achuth Dispensary,13495,371
Siaya,Bar Agulu Dispensary,13496,946
Siaya,Bar Aluru Dispensary (Rarieda),13497,232
Kisumu,Bar Korwa Dispensary,13498,208
Siaya,Bar Olengo Dispensary,13499,603
Kisii,Bitare Dispensary,13502,103
Kisumu,Bodi Health Centre,13503,831
Nyamira,Bogwendo Health Centre(Manga),13504,29
Kisii,Boige Health Centre,13505,64
Kisumu,Bonde Dispensary,13506,370
Siaya,Bondo District Hospital,13507,4072
Homa Bay,Bora Bora Clinic,13509,162
Kisii,Borangi Health Centre,13511,65
Siaya,Boro Dispensary,13513,690
Nyamira,Bosiango Health Centre,13514,123
Migori,Bugumbe Health Centre,13517,293
Kisumu,Bunde Dispensary,13518,886
Migori,Bware Dispensary,13519,295
Kisumu,Chemelil GOK Dispensary,13521,592
Kisumu,Chemelil Sugar Health Centre,13522,394
Nyamira,Chepngombe Health Centre,13523,76
Kisumu,Chiga Dispensary,13524,147
Nyamira,China Dispensary,13525,40
Migori,Chinato Dispensary,13526,113
Kisii,Christamarianne Mission Hospital,13527,1104
Kisumu,Chulaimbo Sub-District Hospital,13528,6460
Homa Bay,Chuowe Dispensary,13529,225
Homa Bay,Chuthber Dispensary,13530,195
Kisii,Daraja Medical Clinic,13531,24
Migori,Dede Dispensary,13532,1246
Siaya,Dienya Health Centre,13533,472
Kisumu,Disciples of Mercy Clinic,13534,534
Siaya,Dolphil Nursing & Maternity Home,13535,450
Kisii,Eberege Dispensary,13536,205
Kisii,Ebiosi Dispensary,13537,39
Kisii,Egetonto Dispensary (Gucha),13538,84
Kisii,Egetuki Medical Clinic (Gucha),13539,11
Nyamira,Ekerenyo Sub-District Hospital,13540,681
Kisii,Ekerubo Dispensary (Masaba),13541,93
Nyamira,Embonga Health Centre,13543,109
Nyamira,Endiba Health Centre,13544,145
Kisii,Entanda Dispensary,13545,183
Kisii,Eramba Dispensary,13546,117
Nyamira,Eronge Health Centre,13547,15
Nyamira,Esani Sub-District Hospital,13548,115
Nyamira,Esianyi Dispensary,13549,204
Kisii,Etago Sub-District Hospital,13550,399
Nyamira,Etono Health Centre,13551,68
Nyamira,Family Saver Clinic,13553,11
Nyamira,Gekano Health Centre (Manga),13557,35
Kisii,Gesabakwa Health Centre,13558,91
Nyamira,Gesima Health Centre,13559,156
Kisii,Gesuguri Dispensary,13560,82
Kisii,Gesure Dispensary (Gucha),13561,51
Nyamira,Gesure Health Centre (Manga),13562,64
Kisii,Gesusu Sub-District Hospital,13564,664
Migori,Getambwega Dispensary,13565,17
Nyamira,Getare Health Centre(Manga),13566,147
Kisii,Getembe Hospital,13567,49
Kisii,Geteri Dispensary,13568,36
Migori,Getongoroma Dispensary,13569,29
Nyamira,Gianchore Health Centre,13572,109
Kisii,Giatunda Dispensary,13573,35
Nyamira,Gietai (AIC) Dispensary,13574,58
Nyamira,Girango Dispensary,13575,55
Migori,Giribe Dispensary,13576,487
Nyamira,Gisage Dispensary,13577,27
Homa Bay,GK Prison Dispensary (Homa Bay),13578,80
Kisumu,GK Prisons Dispensary (Kibos),13579,742
Kisii,GK Prisons Dispensary (Kisii),13580,167
Siaya,Gobei Health Centre,13581,786
Migori,God Jope Dispensary,13582,385
Migori,God Kwer Dispensary,13583,755
Homa Bay,Godber Dispensary,13584,325
Homa Bay,God Bura,13585,304
Homa Bay,Gongo Dispensary,13587,398
Siaya,Got Agulu Sub-District Hospital,13588,934
Homa Bay,Got Kojowi Health Centre,13589,954
Siaya,Got Matar Dispensary,13590,516
Kisumu,Got Nyabondo Dispensary,13591,281
Homa Bay,Got Oyaro Dispensary,13592,312
Kisii,Gotichaki Dispensary,13593,122
Kisii,Gucha District Hospital,13594,1467
Migori,Gwitembe Dispensary,13597,30
Nyamira,Happy Magwagwa Clinic,13599,8
Siaya,Hawinga Health Centre,13600,603
Kisii,Hema Hospital,13603,105
Homa Bay,Holy Family Oriang Mission Dispensary,13604,1930
Homa Bay,Homa Clinic,13605,0
Homa Bay,Homa Hills Health Centre,13606,1438
Homa Bay,Homa Lime Health Centre,13607,294
Homa Bay,Homa Bay District Hospital,13608,7315
Kisumu,Hongo Ogosa Dispensary,13609,951
Kisii,Ibacho Sub-District Hospital,13611,199
Kisii,Ibeno Sub-District Hospital,13612,228
Kisii,Igare Medical Clinic (Sameta),13613,20
Nyamira,Igena-Itambe Dispensary,13614,61
Nyamira,Ikobe Health Centre(Manga),13616,110
Nyamira,Ikonge Dispensary,13617,135
Siaya,Inuka Hospital & Maternity Home,13618,235
Migori,Iraha Dispensary,13619,44
Kisii,Iranda Health Centre,13620,251
Kisii,Irondi Dispensary,13621,48
Kisii,Isecha Health Centre,13623,188
Migori,Isibania Sub-District Hospital,13625,789
Nyamira,Isoge Health Centre,13626,32
Kisii,Itibo Eramani Dispensary,13627,47
Nyamira,Itibo Mission Health Centre,13628,80
Kisii,Itumbe Dispensary,13630,45
Kisii,Iyabe District Hospital (Kisii South),13631,629
Siaya,Jera Dispensary,13634,336
Migori,Jevros Clinic,13635,36
Homa Bay,Johpas Clinic,13636,123
Homa Bay,Kabondo Sub-District Hospital,13638,1334
Migori,Kabuto Dispensary,13639,336
Migori,Kadem Tb & Leprosy Dispensary,13640,1133
Siaya,Kadenge Ratuoro Health Centre,13641,522
Homa Bay,Kageno dispensary,13642,72
Homa Bay,Kager Dispensary,13643,168
Siaya,Kagwa Health Centre,13644,336
Nyamira,Kahawa Dispensary,13645,9
Homa Bay,Kajieyi Dispensary,13646,249
Kisumu,Kajulu/Gita Dispensary,13647,425
Siaya,Kaluo Dispensary,13648,775
Homa Bay,Kamasengere Dispensary,13650,0
Siaya,Kambajo Dispensary,13651,560
Kisumu,Kandege Dispensary,13652,148
Homa Bay,Kandiege Sub-District Hospital,13653,1237
Kisumu,Kanyagwal Dispensary,13654,278
Siaya,Kapiyo Dispensary,13655,389
Migori,Karungu Sub-District Hospital,13656,1204
Kisumu,Katito Health Centre,13657,1279
Homa Bay,Kauma Health Centre (Rachuonyo),13658,236
Kisii,Kegogi Health Centre,13662,288
Migori,Kegonga District Hospital,13663,142
Nyamira,Kemera Dispensary (Manga),13666,60
Homa Bay,Kendu Adventist Hospital,13667,5019
Homa Bay,Kendu Sub-District Hospital,13668,1389
Kisii,Kenyambi Health Centre,13671,119
Kisii,Kenyenya District Hospital,13673,516
Kisii,Kenyerere Dispensary (Sameta),13674,50
Kisii,Kenyerere Dispensary (Masaba),13675,43
Nyamira,Kenyoro Health Centre,13676,95
Nyamira,Masaba District Hospital,13678,1373
Kisii,Keumbu Sub-District Hospital,13680,1108
Kisii,Kiagware Dispensary,13681,39
Kisii,Kiamokama Health Centre,13683,94
Nyamira,Kiangoso Dispensary,13684,150
Kisii,Kiaruta Dispensary,13685,223
Homa Bay,Kiasa Dispensary,13686,601
Kisumu,Kibigori Dispensary,13687,458
Kisumu,Kibogo Dispensary,13688,502
Kisumu,Kibos Sugar Research Dispensary,13689,163
Homa Bay,Kigwa Dispensary,13691,318
Nyamira,Kijauri Sub District Hospital,13692,408
Homa Bay,Kimonge Dispensary,13693,190
Kisumu,Kinasia Dispensary,13694,312
Nyamira,Kineni Dispensary,13695,118
Kisii,Kiogoro Health Centre,13696,362
Kisii,Kionyo Health Centre (Nyamache),13697,211
Nyamira,Kipkebe Health Centre,13698,60
Nyamira,Kiptenden Dispensary,13699,4
Homa Bay,Kisaku Dispensary,13700,211
Homa Bay,Kisegi Sub-District Hospital,13701,670
Kisii,Kisii Hospital (Level 5),13703,4517
Kisumu,Kisumu District Hospital,13704,5824
Homa Bay,Kitare Health Centre,13705,1164
Migori,Kituka Dispensary,13706,294
Homa Bay,Kiwa Island Dispensary,13707,110
Homa Bay,Kobuya Dispensary,13708,330
Kisumu,Kodiaga Prison Health Centre,13709,1081
Siaya,Kogelo Dispensary,13710,685
Homa Bay,Kogweno Oriang' Dispensary,13711,170
Homa Bay,Kokwanyo Health Centre,13712,362
Kisumu,Kombewa District Hospital,13714,3809
Migori,Kopanga Health Center,13718,301
Kisumu,Koru Mission Health Centre,13719,388
Kisumu,Korwenje Dispensary,13720,204
Homa Bay,Kosele Dispensary,13721,165
Kisumu,Kowino Dispensary,13722,217
Migori,Kugitimo Health Centre,13723,19
Migori,Kuja Dispensary,13724,239
Siaya,Kunya Dispensary,13725,336
Migori,Kuria District Hospital,13726,601
Kisumu,Kusa Health Centre,13727,583
Homa Bay,Kwamo Dispensary,13728,461
Migori,Kwoyo Kodalo Dispensary,13729,363
Homa Bay,Lambwe Dispensary,13731,332
Homa Bay,Lambwe Forest Dispensary,13732,175
Homa Bay,Lela Dispensary,13733,230
Siaya,Ligega Health Centre,13735,625
Kisumu,Lumumba Health Centre,13738,6781
Siaya,St Elizabeth Lwak Mission Health Centre,13739,1867
Migori,Lwala Dispensary,13740,990
Migori,Lwanda Dispensary,13741,581
Homa Bay,Lwanda Gwassi Dispensary,13742,539
Siaya,Mabinju Dispensary,13743,369
Migori,Macalder Mission Dispensary,13744,18
Migori,Macalder Sub-District Hospital,13745,1328
Nyamira,Machururiati Dispensary,13746,95
Siaya,Madiany Sub District Hospital,13747,1642
Kisii,Magena Dispensary,13748,439
Kisii,Magenche Dispensary,13749,302
Siaya,Mageta Dispensary,13750,510
Homa Bay,Magina Health Centre,13751,1045
Nyamira,Magombo Health Centre,13752,102
Homa Bay,Magunga Health Centre,13753,1357
Nyamira,Magwagwa (SDA) Dispensary,13755,14
Nyamira,Magwagwa Health Centre,13756,80
Siaya,Mahaya Health Centre (Rarieda),13757,476
Kisumu,Makindu Dispensary,13759,148
Siaya,Malanga Health Centre,13760,1032
Homa Bay,Malela Dispensary,13761,407
Nyamira,Manga District Hospital,13766,360
Homa Bay,Mangima SDA Health Centre,13768,50
Homa Bay,Manyatta (SDA) Dispensary,13769,299
Kisumu,Manyuanda Health Centre,13770,1166
Siaya,Manyuanda Health Centre (Rarieda),13771,1231
Kisii,Marani District Hospital,13772,667
Siaya,Marenyo Health Centre,13773,479
Homa Bay,Marindi Health Centre,13777,1596
Migori,Mariwa Health Centre,13778,688
Migori,Masaba Health Centre,13779,149
Siaya,Masala Dispensary,13780,393
Kisumu,Maseno Mission Hospital,13781,2646
Kisumu,Maseno University Medical Clinic,13782,167
Kisii,Masimba Sub-District Hospital,13783,405
Homa Bay,Masogo Dispensary,13784,159
Kisumu,Masogo Sub District Hospital,13785,1303
Kisii,Masongo Dispensary,13786,82
Siaya,Matangwe Community Health Centre,13787,553
Homa Bay,Matata Nursing Hospital,13789,1375
Kisii,Matongo Dispensary,13790,225
Nyamira,Matongo Health Centre,13791,148
Migori,Matoso Health Clinic,13793,540
Nyamira,Matutu Dispensary,13794,14
Homa Bay,Mawego Health Centre,13795,979
Siaya,Mawere Dispensary,13796,346
Siaya,Mbaga Health Centre,13797,292
Homa Bay,Mbita District Hospital,13798,2127
Siaya,Uluthe Dispensary,13799,270
Nyamira,Mecheo Dispensary,13800,44
Nyamira,Medicare Medical Clinic (Manga),13801,19
Siaya,Midhine Dispensary,13803,388
Migori,Midoti Dispensary,13804,263
Migori,Migori District Hospital,13805,4506
Kisumu,Migosi Health Centre,13807,1428
Migori,Minyenya Dispensary,13809,509
Kisumu,Miranga Sub District Hospital,13810,574
Nyamira,Miriri Dispensary,13811,55
Homa Bay,Miriu Health Centre,13812,1005
Homa Bay,Mirogi Health Centre,13813,1504
Kisii,Misesi Dispensary (Gucha),13814,163
Siaya,Misori Dispensary,13815,598
Kisumu,Miwani Dispensary,13816,125
Kisumu,Mnara Dispensary,13817,173
Nyamira,Mochenwa Dispensary,13818,72
Nyamira,Mokomoni Health Centre,13820,91
Kisii,Monianku Health Centre,13821,144
Kisii,St Barbara Mosocho Health Centre,13822,121
Migori,Motemorabu Dispensary,13824,17
Kisii,Moticho Health Centre,13825,219
Nyamira,Motontera Dispensary,13826,42
Homa Bay,Msare Health Centre,13828,265
Migori,Muchebe Dispensary,13830,22
Kisumu,Muhoroni Sub-District Hospital,13831,1282
Kisumu,Muhoroni Sugar Company (Musco) Dispensary,13832,128
Migori,Muhuru Health Centre,13833,1463
Siaya,Mulaha Dispensary,13834,863
Nyamira,Mwongori Dispensary,13836,80
Siaya,Naya Health Centre,13837,996
Siaya,Ndeda Dispensary,13839,268
Siaya,Ndere Health Centre,13840,870
Homa Bay,Ndhiwa Sub-District Hospital,13841,2182
Homa Bay,Ndhuru Dispensary,13842,400
Homa Bay,Ndiru Health Centre,13843,1179
Migori,Ndiwa Dispensary,13844,594
Siaya,Ndori Health Centre,13845,809
Kisii,Nduru District Hospital,13847,568
Kisumu,Nduru Kadero Dispensary,13848,410
Homa Bay,Ngegu Dispensary,13849,532
Migori,Ngere Dispensary,13850,408
Siaya,Ng'iya Health Centre,13852,954
Migori,Ngodhe Dispensary,13853,439
Homa Bay,Ng'odhe Island Dispensary,13854,51
Homa Bay,Nguku Dispensary,13855,364
Kisumu,Nightingale Medical Centre,13856,316
Migori,Ntimaru Sub-District Hospital,13858,224
Nyamira,Nyabikomu Dispensary,13860,16
Migori,Nyabokarange Dispensary,13862,47
Homa Bay,Nyabola Dispensary,13863,235
Kisumu,Nyabondo Mission Hospital,13864,2671
Migori,Nyaburi Clinic,13865,16
Kisii,Nyacheki Sub-District Hospital,13867,441
Kisii,Nyachenge Dispensary,13868,23
Kisii,Nyachogochogo Dispensary,13869,64
